,Entity,Year_internet,Code,internet_usage,co2_tonnes_per_person,income_per_person,energy_per_person
0,Albania,1990,ALB,0.0,1.68,4830,813
1,Albania,1991,ALB,0.0,1.31,3500,573
2,Albania,1992,ALB,0.0,0.775,3270,418
3,Albania,1993,ALB,0.0,0.731,3600,412
4,Albania,1994,ALB,0.0,0.612,3920,441
5,Albania,1995,ALB,0.011168695,0.67,4470,417
6,Albania,1996,ALB,0.032196828,0.651,4910,448
7,Albania,1997,ALB,0.048593919,0.498,4400,385
8,Albania,1998,ALB,0.06502737,0.563,4820,427
9,Albania,1999,ALB,0.081437045,0.956,5480,576
10,Albania,2000,ALB,0.114097347,0.966,5890,580
11,Albania,2001,ALB,0.325798377,1.03,6440,597
12,Albania,2002,ALB,0.390081273,1.2,6750,660
13,Albania,2003,ALB,0.971900415,1.38,7150,648
14,Albania,2004,ALB,2.420387798,1.34,7580,715
15,Albania,2005,ALB,6.043890864,1.38,8040,720
16,Albania,2006,ALB,9.609991316,1.27,8570,707
17,Albania,2007,ALB,15.03611541,1.29,9150,680
18,Albania,2008,ALB,23.86,1.46,9910,711
19,Albania,2009,ALB,41.2,1.47,10.3k,732
20,Albania,2010,ALB,45.0,1.56,10.7k,729
21,Albania,2011,ALB,49.0,1.79,11.1k,765
22,Albania,2012,ALB,54.65595904,1.69,11.2k,688
23,Albania,2013,ALB,57.2,1.69,11.4k,801
24,Albania,2014,ALB,60.1,1.9,11.6k,808
25,Albania,2015,ALB,63.2529327,1.6,11.9k,
26,Algeria,1990,DZA,0.0,2.98,8750,861
27,Algeria,1991,DZA,0.0,2.99,8430,889
28,Algeria,1992,DZA,0.0,2.96,8380,889
29,Algeria,1993,DZA,0.0,2.97,8030,872
30,Algeria,1994,DZA,0.000360674,3.06,7790,824
31,Algeria,1995,DZA,0.001768954,3.31,7940,843
32,Algeria,1996,DZA,0.001738533,3.31,8120,802
33,Algeria,1997,DZA,0.010268463,2.93,8080,809
34,Algeria,1998,DZA,0.020238555,3.53,8360,825
35,Algeria,1999,DZA,0.199523843,3.0,8510,868
36,Algeria,2000,DZA,0.491705679,2.82,8710,870
37,Algeria,2001,DZA,0.646114017,2.67,8860,860
38,Algeria,2002,DZA,1.59164126,2.81,9230,908
39,Algeria,2003,DZA,2.195359731,2.82,9770,953
40,Algeria,2004,DZA,4.634475088,2.69,10.1k,952
41,Algeria,2005,DZA,5.843942092,3.21,10.5k,978
42,Algeria,2006,DZA,7.375984956,2.98,10.5k,1030
43,Algeria,2007,DZA,9.451190626,3.18,10.7k,1080
44,Algeria,2008,DZA,10.18,3.14,10.8k,1070
45,Algeria,2009,DZA,11.23,3.4,10.8k,1150
46,Algeria,2010,DZA,12.5,3.28,11k,1110
47,Algeria,2011,DZA,14.9,3.27,11.1k,1140
48,Algeria,2012,DZA,18.2,3.43,11.2k,1230
49,Algeria,2013,DZA,22.5,3.48,11.3k,1250
50,Algeria,2014,DZA,29.5,3.68,11.5k,1330
51,Algeria,2015,DZA,38.2,3.8,11.7k,
52,Angola,1990,AGO,0.0,0.43,1610,497
53,Angola,1991,AGO,0.0,0.414,1670,492
54,Angola,1992,AGO,0.0,0.408,1620,479
55,Angola,1993,AGO,0.0,0.44,1260,480
56,Angola,1994,AGO,0.0,0.286,1300,471
57,Angola,1995,AGO,0.0,0.786,1530,456
58,Angola,1996,AGO,0.000775929,0.725,1780,454
59,Angola,1997,AGO,0.005673746,0.494,1960,449
60,Angola,1998,AGO,0.018453724,0.474,2110,434
61,Angola,1999,AGO,0.071964087,0.576,2210,441
62,Angola,2000,AGO,0.105045562,0.581,2340,439
63,Angola,2001,AGO,0.136013867,0.571,2510,443
64,Angola,2002,AGO,0.270376746,0.72,2930,448
65,Angola,2003,AGO,0.370682065,0.496,3150,468
66,Angola,2004,AGO,0.464814618,0.998,3560,465
67,Angola,2005,AGO,1.143366827,0.979,4310,434
68,Angola,2006,AGO,1.5,1.1,5610,459
69,Angola,2007,AGO,1.7,1.2,6960,472
70,Angola,2008,AGO,1.9,1.18,7850,492
71,Angola,2009,AGO,2.3,1.23,7760,515
72,Angola,2010,AGO,2.8,1.24,7690,521
73,Angola,2011,AGO,3.1,1.25,7680,522
74,Angola,2012,AGO,6.5,1.35,8040,552
75,Angola,2013,AGO,8.9,1.28,8140,534
76,Angola,2014,AGO,21.4,1.64,8240,545
77,Angola,2015,AGO,12.4,1.22,8040,
78,Antigua and Barbuda,1990,ATG,0.0,4.52,15.5k,1580
79,Antigua and Barbuda,1991,ATG,0.0,4.22,15.6k,
80,Antigua and Barbuda,1992,ATG,0.0,4.1,15.5k,
81,Antigua and Barbuda,1993,ATG,0.0,4.13,16k,
82,Antigua and Barbuda,1994,ATG,0.0,3.98,16.7k,
83,Antigua and Barbuda,1995,ATG,2.200768802,4.0,15.6k,
84,Antigua and Barbuda,1996,ATG,2.858449577,4.18,16.3k,
85,Antigua and Barbuda,1997,ATG,3.480536838,4.3,16.8k,
86,Antigua and Barbuda,1998,ATG,4.0717165,4.36,17.3k,
87,Antigua and Barbuda,1999,ATG,5.300681138,4.42,17.6k,
88,Antigua and Barbuda,2000,ATG,6.482225737,4.54,18.3k,
89,Antigua and Barbuda,2001,ATG,8.899285515,4.51,17.2k,
90,Antigua and Barbuda,2002,ATG,12.5,4.73,17.1k,
91,Antigua and Barbuda,2003,ATG,17.22864878,5.09,18k,
92,Antigua and Barbuda,2004,ATG,24.26654372,5.25,18.7k,1680
93,Antigua and Barbuda,2005,ATG,27.0,5.27,19.7k,1680
94,Antigua and Barbuda,2006,ATG,30.0,5.36,21.8k,1730
95,Antigua and Barbuda,2007,ATG,34.0,5.59,23.5k,1740
96,Antigua and Barbuda,2008,ATG,38.0,5.63,23.1k,
97,Antigua and Barbuda,2009,ATG,42.0,5.88,20k,
98,Antigua and Barbuda,2010,ATG,47.0,5.96,18.2k,
99,Antigua and Barbuda,2011,ATG,52.0,5.75,17.6k,
100,Antigua and Barbuda,2012,ATG,58.0,5.8,18k,
101,Antigua and Barbuda,2013,ATG,63.4,5.73,17.6k,
102,Antigua and Barbuda,2014,ATG,67.78,5.7,18.1k,
